Scene,Characters,Location,Film
,"Nute Gunray,Rune Haako,Padme Amidala,Sio Bibble,Captain Panaka",Naboo,1
,"Obi-Wan Kenobi,Qui-Gon Jinn,Jar Jar Binks",Naboo,1
,"Qui-Gon Jinn,Jar Jar Binks,Obi-Wan Kenobi,Captain Panaka,Padme Amidala,Sio Bibble,Ric Olie,Sabe",Naboo,1
,"Ric Olie,Padme Amidala,Qui-Gon Jinn,Obi-Wan Kenobi,Jar Jar Binks,Captain Panaka,R2-D2,Sabe",Naboo,1
,"Emperor Palpatine/Darth Sidious,Darth Maul,Rune Haako,Nute Gunray",Naboo,1
,"R2-D2,Padme Amidala,Jar Jar Binks,Captain Panaka,Qui-Gon Jinn,Obi-Wan Kenobi",Space,1
,"Ric Olie,Qui-Gon Jinn,Obi-Wan Kenobi",Tatooine,1
,"R2-D2,Qui-Gon Jinn,Captain Panaka,Jar Jar Binks,Padme Amidala",Tatooine,1
,"Sebulba,Jar Jar Binks,Anakin Skywalker/Darth Vader,Shmi Skywalker,Qui-Gon Jinn,R2-D2,C-3PO,Padme Amidala",Tatooine,1
,"Obi-Wan Kenobi,Captain Panaka,Sabe",Tatooine,1
,"Emperor Palpatine/Darth Sidious,Darth Maul",Coruscant,1
,"Shmi Skywalker,Anakin Skywalker/Darth Vader,R2-D2,Padme Amidala,Qui-Gon Jinn,Jar Jar Binks",Tatooine,1
,"Qui-Gon Jinn,Watto,Anakin Skywalker/Darth Vader",Tatooine,1
,"Qui-Gon Jinn,Obi-Wan Kenobi,C-3PO,Shmi Skywalker,Kitster,Anakin Skywalker/Darth Vader,R2-D2,Jar Jar Binks,Padme Amidala,Greedo",Tatooine,1
,Darth Maul,Tatooine,1
,"Watto,Qui-Gon Jinn,Jar Jar Binks",Tatooine,1
,"Padme Amidala,Anakin Skywalker/Darth Vader,Kitster,Shmi Skywalker,R2-D2,C-3PO",Tatooine,1
,"Sebulba,Anakin Skywalker/Darth Vader,Jabba the Hutt,Bib Fortuna,Qui-Gon Jinn,Shmi Skywalker",Tatooine,1
,"Padme Amidala,Qui-Gon Jinn,Shmi Skywalker,Jar Jar Binks,Anakin Skywalker/Darth Vader,Sebulba,C-3PO,R2-D2,Watto",Tatooine,1
,"Sebulba,Jabba the Hutt,Anakin Skywalker/Darth Vader,C-3PO,R2-D2,Jar Jar Binks,Shmi Skywalker,Qui-Gon Jinn",Tatooine,1
,"Sebulba,Anakin Skywalker/Darth Vader,Jabba the Hutt,Bib Fortuna,Padme Amidala,Shmi Skywalker,Qui-Gon Jinn,Jar Jar Binks,R2-D2,Watto,C-3PO",Tatooine,1
,"Jar Jar Binks,Anakin Skywalker/Darth Vader,Padme Amidala,Shmi Skywalker,R2-D2,C-3PO,Qui-Gon Jinn,Watto",Tatooine,1
,"Qui-Gon Jinn,Obi-Wan Kenobi,Jar Jar Binks,Padme Amidala,R2-D2",Tatooine,1
,"Qui-Gon Jinn,Shmi Skywalker,C-3PO,Anakin Skywalker/Darth Vader",Tatooine,1
,"Anakin Skywalker/Darth Vader,Qui-Gon Jinn,Darth Maul,Obi-Wan Kenobi,Padme Amidala,Captain Panaka",Tatooine,1
,"Nute Gunray,Sio Bibble",Naboo,1
,"Padme Amidala,Anakin Skywalker/Darth Vader,R2-D2,Jar Jar Binks",Space,1
,"Emperor Palpatine/Darth Sidious,Chancellor Valorum,Padme Amidala,Jar Jar Binks,Anakin Skywalker/Darth Vader,Captain Panaka,R2-D2,Qui-Gon Jinn,Obi-Wan Kenobi",Coruscant,1
,"Padme Amidala,Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader,Jar Jar Binks,Captain Panaka",Coruscant,1
,"Obi-Wan Kenobi,Yoda,Qui-Gon Jinn,Ki-Adi-Mundi,Mace Windu,Plo Koon",Coruscant,1
,"Padme Amidala,Anakin Skywalker/Darth Vader",Coruscant,1
,"Emperor Palpatine/Darth Sidious,Padme Amidala,Captain Panaka,Chancellor Valorum,Lott Dod",Coruscant,1
,"Qui-Gon Jinn,Obi-Wan Kenobi",Coruscant,1
,"Anakin Skywalker/Darth Vader,Yoda,Ki-Adi-Mundi,Mace Windu,Plo Koon",Coruscant,1
,"Jar Jar Binks,Padme Amidala,Emperor Palpatine/Darth Sidious,Captain Panaka",Coruscant,1
,"Qui-Gon Jinn,Obi-Wan Kenobi,Yoda,Ki-Adi-Mundi,Mace Windu,Plo Koon",Coruscant,1
,"Padme Amidala,Anakin Skywalker/Darth Vader,Qui-Gon Jinn,Obi-Wan Kenobi,Captain Panaka,R2-D2",Coruscant,1
,"Nute Gunray,Emperor Palpatine/Darth Sidious,Darth Maul,Rune Haako",Naboo,1
,"Ric Olie,Anakin Skywalker/Darth Vader,Padme Amidala,Captain Panaka,Qui-Gon Jinn,Jar Jar Binks,Obi-Wan Kenobi",Space,1
,"Obi-Wan Kenobi,Qui-Gon Jinn",Naboo,1
,"Jar Jar Binks,Captain Panaka,Padme Amidala,Boss Nass,Sabe,Anakin Skywalker/Darth Vader,Qui-Gon Jinn,Obi-Wan Kenobi,R2-D2",Naboo,1
,"Nute Gunray,Emperor Palpatine/Darth Sidious,Darth Maul,Rune Haako",Naboo,1
,"Boss Nass,Jar Jar Binks,Captain Panaka,Padme Amidala,Qui-Gon Jinn,Obi-Wan Kenobi,R2-D2,Anakin Skywalker/Darth Vader",Naboo,1
,"Nute Gunray,Emperor Palpatine/Darth Sidious,Darth Maul,Rune Haako",Naboo,1
,"Jar Jar Binks,Roos Tarpals",Naboo,1
,"Padme Amidala,Qui-Gon Jinn,Obi-Wan Kenobi,Captain Panaka,Anakin Skywalker/Darth Vader,R2-D2",Naboo,1
,"Darth Maul,Nute Gunray,Rune Haako",Naboo,1
,"Sabe,Padme Amidala,Qui-Gon Jinn,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,R2-D2",Naboo,1
,"Jar Jar Binks,Roos Tarpals",Naboo,1
,"Padme Amidala,Qui-Gon Jinn,Obi-Wan Kenobi,Captain Panaka,Anakin Skywalker/Darth Vader,R2-D2,Captain Panaka,Sabe",Naboo,1
,"Darth Maul,Obi-Wan Kenobi,Qui-Gon Jinn,Padme Amidala,Sabe,Anakin Skywalker/Darth Vader,R2-D2,Captain Panaka",Naboo,1
,"Anakin Skywalker/Darth Vader,R2-D2",Naboo,1
,"Qui-Gon Jinn,Obi-Wan Kenobi,Darth Maul",Naboo,1
,"Anakin Skywalker/Darth Vader,R2-D2",Naboo,1
,"Captain Panaka,Padme Amidala",Naboo,1
,"Qui-Gon Jinn,Obi-Wan Kenobi,Darth Maul",Naboo,1
,"Jar Jar Binks,Roos Tarpals",Naboo,1
,"Padme Amidala,Captain Panaka",Naboo,1
,"Anakin Skywalker/Darth Vader,R2-D2",Naboo,1
,"Qui-Gon Jinn,Obi-Wan Kenobi,Darth Maul",Naboo,1
,"Sabe,Padme Amidala,Captain Panaka,Nute Gunray,Rune Haako",Naboo,1
,"Qui-Gon Jinn,Obi-Wan Kenobi,Darth Maul",Naboo,1
,"Anakin Skywalker/Darth Vader,R2-D2",Naboo,1
,"Jar Jar Binks,Roos Tarpals",Naboo,1
,"Emperor Palpatine/Darth Sidious,Ki-Adi-Mundi,Yoda,Nute Gunray,Padme Amidala,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,Captain Panaka,Rune Haako",Naboo,1
,"Yoda,Obi-Wan Kenobi",Naboo,1
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious,Boss Nass,Jar Jar Binks,Padme Amidala,R2-D2",Naboo,1
,"Yoda,Mace Windu",Naboo,1
,"Anakin Skywalker/Darth Vader,Padme Amidala,Mace Windu,Ki-Adi-Mundi,Yoda,Boss Nass,Jar Jar Binks,Obi-Wan Kenobi,Emperor Palpatine/Darth Sidious,Sio Bibble,R2-D2,Captain Panaka",Naboo,1
,"Captain Typho,Padme Amidala,R2-D2",Coruscant,2
,"Captain Typho,Dorme,Ki-Adi-Mundi,Yoda,Mace Windu,Emperor Palpatine/Darth Sidious,Padme Amidala,Bail Organa,Jar Jar Binks,R2-D2",Coruscant,2
,"Anakin Skywalker/Darth Vader,Padme Amidala,Obi-Wan Kenobi,Jar Jar Binks,Dorme,Captain Typho",Coruscant,2
,"Zam Wesell,Jango Fett",Coruscant,2
,"Anakin Skywalker/Darth Vader,Obi-Wan Kenobi,R2-D2,Padme Amidala",Coruscant,2
,"Obi-Wan Kenobi,R2-D2,Dorme,Captain Typho,Anakin Skywalker/Darth Vader",Coruscant,2
,"Zam Wesell,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Coruscant,2
,"Zam Wesell,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,Jango Fett",Coruscant,2
,"Yoda,Mace Windu,Ki-Adi-Mundi,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Coruscant,2
,"Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader",Coruscant,2
,"Yoda,Obi-Wan Kenobi,Mace Windu",Coruscant,2
,"Padme Amidala,Jar Jar Binks,Anakin Skywalker/Darth Vader",Coruscant,2
,"Padme Amidala,R2-D2,Captain Typho,Anakin Skywalker/Darth Vader,Obi-Wan Kenobi,Dorme",Coruscant,2
,"Obi-Wan Kenobi,Dexter Jetster",Coruscant,2
,"Jocasta Nu,Obi-Wan Kenobi",Coruscant,2
,"R2-D2,Anakin Skywalker/Darth Vader,Padme Amidala",Coruscant,2
,"Yoda,Obi-Wan Kenobi",Coruscant,2
,"Padme Amidala,Anakin Skywalker/Darth Vader",Naboo,2
,"Padme Amidala,Anakin Skywalker/Darth Vader,Sio Bibble,Queen Jamillia",Naboo,2
,"Taun We,Obi-Wan Kenobi",Kamino,2
,"Taun We,Obi-Wan Kenobi,Lama Su",Kamino,2
,"Padme Amidala,Anakin Skywalker/Darth Vader",Naboo,2
,"Taun We,Obi-Wan Kenobi,Lama Su",Kamino,2
,"Padme Amidala,Anakin Skywalker/Darth Vader",Naboo,2
,"Taun We,Obi-Wan Kenobi,Jango Fett,Boba Fett",Kamino,2
,"Padme Amidala,Anakin Skywalker/Darth Vader",Naboo,2
,"Yoda,Obi-Wan Kenobi,Mace Windu",Various,2
,"Padme Amidala,Anakin Skywalker/Darth Vader",Naboo,2
,"Jango Fett,Boba Fett,Obi-Wan Kenobi",Kamino,2
,"Watto,R2-D2,Anakin Skywalker/Darth Vader,Padme Amidala",Tatooine,2
,"Jango Fett,Boba Fett,Obi-Wan Kenobi",Kamino,2
,"Owen Lars,Beru Lars,Padme Amidala,Anakin Skywalker/Darth Vader,R2-D2,Cliegg Lars",Tatooine,2
